key,en,ko
select Payment Gateway,Select Payment Gateway,결제 게이트웨이를 선택하십시오
approval,Approval,승인
fees And Charge,Fees & Charge,수수료 및 요금
notifications,Notifications,알림
entered Amount,Entered Amount,입력 금액
upload Document,Upload Document,문서 업로드
forgot Password,Forgot Password?,비밀번호를 잊으 셨나요?
preview,Preview,시사
evidence Note,Evidence Note,증거 노트
paypal,Paypal,PayPal
swipe Next,Swipe Next,다음에 스 와이프하십시오
Step,Step,단계
prevStep,Previous Step,이전 단계
nextStep,Next Step,다음 단계
buy Or Sell Currency,Buy or sell currency with realtime exchange rate and use secure escrow system,실시간 환율로 통화를 구매하거나 판매하고 보안 에스크로 시스템을 사용하십시오.
select Currency,Select Currency,통화를 선택하십시오
reset,RESET,초기화
approval One,Approval One,승인 1
legal Documents,(Legal Documents of Residence),(법적 거주지)
Identity Verification,Identity Verification,신원 확인
pending,Pending,보류 중
allowed Documents,"Allowed documents: jpg, png - 5MB maximum file size.","허용 문서 : JPG, PNG -5MB 최대 파일 크기."
view All,View All,모두보기
filters,Filters,필터
confirmation One,Confirmation One,확인 1
confirm One,Confirm One,하나를 확인하십시오
oct,OCT,10 월
accept,Accept,수용하다
accepted,Accepted,받아 들여졌다
update Profile,Update Profile,프로필 업데이트
select Rate,Select Rate,요율을 선택하십시오
select Id Type,Select ID Type,ID 유형을 선택하십시오
your Money Has Been,Your money has been successfully add on your wallet. Thanks for using,당신의 돈은 당신의 지갑에 성공적으로 추가되었습니다. 사용해 주셔서 감사합니다
search,Search,찾다
your Password Has,"Your password has been rest successfully, Sign In now again. Thanks to use ",비밀번호가 성공적으로 휴식을 취하고 지금 다시 로그인하십시오. 사용해 주셔서 감사합니다
payment Method,Payment Method,지불 방법
calculate Now,Calculate Now,지금 계산하십시오
united State,United State,미국
dashboard Container,Dashboard - Container,대시 보드 - 컨테이너
make Offer,Make Offer,제안을
congratulations,Congratulations,축하해요
two Fa Verification,2FA Verification,2FA 확인
capture Picture,Capture Picture,사진을 캡처하십시오
nid Card,NID Card,NID 카드
My Trade,My Trade,내 거래
pay Now,Pay Now,지금 지불하세요
id Type Legal Documents,ID Type (Legal Documents of Residence),ID 유형 (법률 문서)
Get Offer,Get Offer,제안을 받으십시오
buy Sell Currency With,Buy & Sell Currency,통화 구매 및 판매
remember Me,Remember Me,날 기억해
send Offer,Send Offer,제안을 보내십시오
sign Out Alert,Sign Out?,로그 아웃 하시겠습니까?
are You Sure,Are you sure about signing out of the system? Then click Okay button,시스템에서 서명하는 것이 확실합니까? 그런 다음 괜찮은 버튼을 클릭하십시오
from Gallery,From Gallery,갤러리에서
from Camera,From Camera,카메라에서
we Will Ask For,We’ll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security,인식되지 않은 장치 나 브라우저에서 로그인을 발견하면 보안 방법을 통해 확인 코드를 요청합니다. 이중 보안을 활성화하십시오
no Trade Found,No trade found,무역이 발견되지 않았습니다
on Offer Found,No offer found,제안이 없습니다
no Notification Found,No notification found,알림이 없습니다
no History Found,No history found,역사가 발견되지 않았습니다
no Transaction Found,No transaction found,거래가 발견되지 않았습니다
What do you want?,What do you want?,무엇을 하시겠어요?
Sell Tether,Sell Tether,테더 판매
Buy Tether,Buy Tether,테더 구매
trade Fee,Trade Fee,거래 수수료
enter Old Password,Enter Old Password,이전 비밀번호를 입력하십시오
Dashboard,Dashboard,요약정보
Default,Default,기본
Setup Currency,Setup Currency,설정 통화
Language created successfully!,Language created successfully!,성공적으로 만들어진 언어!
Transactions & Log,Transactions & Log,거래 및 로그
Add Money Logs,Add Money Logs,머니 로그를 추가하십시오
Pending Logs,Pending Logs,보류중인 통나무
Completed Logs,Completed Logs,완료된 로그
Canceled Logs,Canceled Logs,취소 된 로그
All Logs,All Logs,모든 로그
Donation Logs,Donation Logs,기부 로그
User Care,User Care,사용자 관리
Active Users,Active Users,활성 사용자
Email Unverified,Email Unverified,이메일을 검증하지 않습니다
All Users,All Users,모든 사용자들
Email To Users,Email To Users,사용자에게 이메일을 보내십시오
Banned Users,Banned Users,금지 된 사용자
Admin Care,Admin Care,관리자 관리
All Admin,All Admin,모든 관리자
Admin Role,Admin Role,관리자 역할
Role Permission,Role Permission,역할 허가
Email To Admin,Email To Admin,관리자에게 이메일
Subscriber,Subscriber,구독자
Contact Messages,Contact Messages,연락처 메시지
Settings,Settings,설정
Web Settings,Web Settings,웹 설정
Basic Settings,Basic Settings,기본 설정
Image Assets,Image Assets,이미지 자산
Setup SEO,Setup SEO,설정 SEO
App Settings,App Settings,앱 설정
Splash Screen,Splash Screen,스플래시 화면
App URLs,App URLs,앱 URL
Languages,Languages,언어
Verification Center,Verification Center,검증 센터
Setup Email,Setup Email,설정 이메일
Email Method,Email Method,이메일 방법
Setup Web Content,Setup Web Content,웹 컨텐츠 설정
Setup Section,Setup Section,설정 섹션
Home Banner,Home Banner,홈 배너
About Section,About Section,섹션 정보
Download App,Download App,앱 다운로드
Testimonial Section,Testimonial Section,증언 섹션
Video Section,Video Section,비디오 섹션
Partner Section,Partner Section,파트너 섹션
Footer Section,Footer Section,바닥 글 섹션
Breadcrumb Section,Breadcrumb Section,빵 부스러기 섹션
Gallery Section,Gallery Section,갤러리 섹션
Contact Section,Contact Section,연락처 섹션
Category Type,Category Type,카테고리 유형
Faq Section,Faq Section,FAQ 섹션
Login Section,Login Section,로그인 섹션
Register Section,Register Section,등록 섹션
Setup Pages,Setup Pages,설정 페이지
Useful LInks,Useful LInks,유용한 링크
Extensions,Extensions,확장
Payment Methods,Payment Methods,지불 방법
Automatic,Automatic,자동적 인
Manual,Manual,수동
Bonus,Bonus,보너스
GDPR Cookie,GDPR Cookie,GDPR 쿠키
Server Info,Server Info,서버 정보
Clear Cache,Clear Cache,클리어 캐시
Fees & Charges,Fees & Charges,수수료 및 요금
Trade Logs,Trade Logs,거래 기록
Ongoing Logs,Ongoing Logs,진행중인 로그
Complete Logs,Complete Logs,완전한 로그
Close Request Pending,Close Request Pending,계류중인 닫기
Closed Logs,Closed Logs,닫힌 로그
Marketplace Logs,Marketplace Logs,마켓 플레이스 로그
Manual Money Out,Manual Money Out,수동 돈
Push Notification,Push Notification,푸시 알림
Setup Notification,Setup Notification,설정 알림
Send Notification,Send Notification,알림을 보냅니다
Language Manager,Language Manager,언어 관리자
Trade Interval Charge and Fees,Trade Interval Charge and Fees,무역 간격 요금 및 수수료
Services,Services,서비스
About Us,About Us,우리에 대해
Faqs,Faqs,FAQ
Web Journal,Web Journal,웹 저널
Contact Us,Contact Us,문의하기
Fee Calculator,Fee Calculator,수수료 계산기
Call Us,Call Us,우리에게 전화하십시오
Watch Video,Watch Video,비디오를보다
Need Help Banner,Need Help? Contact our,도움이 필요하다? 우리에게 연락하십시오
Support Tell Banner,support & tell us about your query.,쿼리에 대해 지원하고 알려주십시오.
Years Of Ecperience,Years Of Ecperience,수년간의 급성
Feedback,Feedback,피드백
Contributors,Contributors,기고자
Tags,Tags,태그
Recent Posts,Recent Posts,최근 게시물
PHONE NUMBER,PHONE NUMBER,전화 번호
EMAIL ADDRESS,EMAIL ADDRESS,이메일 주소
SCHEDULE,SCHEDULE,일정
Login Now,Login Now,지금 로그인하십시오
Our Trading Marketplace,Our Trading Marketplace,우리의 거래 시장
Marketplace,Marketplace,시장
Total User Reviews,Total User Reviews,총 사용자 리뷰
Download form,Download form,양식을 다운로드하십시오
App Store,App Store,앱 스토어
Google Play,Google Play,구글 플레이
Follow Us,Follow Us,팔로우 해주세요
Read More,Read More,더 읽으십시오
Forgot your password,Forgot your password,비밀번호를 잊어 버렸습니까
Reset Your Forgotten Password,Reset Your Forgotten Password,잊혀진 암호를 재설정하십시오
Forgot Subheading,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password,비밀번호를 재설정하여 계정을 제어하십시오. 비밀번호 복구 페이지는 비밀번호를 안전하게 재설정하기 위해 필요한 단계를 안내합니다.
Already Have An Account,Already Have An Account,이미 계정이 있습니다
Send OTP,Send OTP,OTP를 보내십시오
Set New Password,Set New Password,새 비밀번호를 설정하십시오
Reset Sub Heading,Please Enter your new password and get login access on your Dashboard,새 비밀번호를 입력하고 대시 보드에서 로그인 액세스 권한을 얻으십시오.
Didn't get the code,Didn't get the code,코드를 얻지 못했습니다
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,유효한 KYC 정보를 제출하십시오.
Withdraw Money,Withdraw Money,돈을 인출
Time & Date,Time & Date,시간과 날짜
Transaction ID,Transaction ID,거래 ID
Fees & Charge,Fees & Charge,수수료 및 요금
Total Amount,Total Amount,총액
Conversion Amount,Conversion Amount,전환 금액
No Record Found!,No Record Found!,기록을 찾을 수 없습니다!
Withdraw,Withdraw,철회하다
Transaction,Transaction,거래
2FA Security,2FA Security,이중 보안
Logout,Logout,로그 아웃
How can we help you,How can we help you,어떻게 도와 드릴까요
Get Support,Get Support,도움 받기
Confirm Payment,Confirm Payment,지불을 확인하십시오
request-amount,request-amount,요청-관리
Total Fees & Charges,Total Fees & Charges,총 수수료 및 요금
Select Bank,Select Bank,은행을 선택하십시오
Account Number,Account Number,계좌 번호
Total Payable,Total Payable,총 지불
Withdraw Money Log,Withdraw Money Log,돈 로그를 인출하십시오
View More,View More,더보기
Don,Don,두목
Support Tickets,Support Tickets,티켓 지원
Add New Ticket,Add New Ticket,새 티켓을 추가하십시오
Attachments,Attachments,첨부 파일
Total Trade Amount,Total Trade Amount,총 거래 금액
Total Marketplace Amount,Total Marketplace Amount,총 시장 금액
Total Add Money,Total Add Money,총 추가
Recent Marketplace Transaction,Recent Marketplace Transaction,최근 시장 거래
Active Ticket,Active Ticket,활성 티켓
Add Money Form,Add Money Form,돈 형태를 추가하십시오
Add Money Preview,Add Money Preview,돈 미리보기를 추가하십시오
KYC Verification,KYC Verification,KYC 인증
Setup KYC,Setup KYC,KYC 설정
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,거래 및 로그
Money Out Logs,Money Out Logs,돈을 아웃으로 통나무
INTERFACE PANEL,INTERFACE PANEL,인터페이스 패널
Receiving Method,Receiving Method,수신 방법
change Language,change Language,언어를 변경하십시오
Payment Info,Payment Info,결제 정보
Bank Name,Bank Name,은행 이름
Account Number,Account Number,계좌번호
Account Name,Account Name,계좌이름
Kakao QRImage,KakaoPay QR Image,카카오페이 QR 이미지
Phase1of3,Phase 1/3,1/3 단계
Phase2of3,Phase 2/3,2/3 단계
Phase3of3,Phase 3/3,3/3 단계
Select Price Type,Select Price Type,거래 가격 설정
Market price,Market price,시장가
Fixed price,Fixed price,고정가
Offer trading volume restriction,Offer trading volume restriction,거래량 제한
Minimum,Minimum($),최소 거래량(원)
Maximum,Maximum($),최대 거래량(원)
Offer margin,Offer margin,거래 마진
Offer time limits,Offer time limits(minutes),거래 시간 제한(분)
Offer Tag,Offer Tag,거래 태그
Need ID Card Picture,Need ID Card Picture,신분증 사진 필요
No Receipt Required,No Receipt Required,영수증 필요 없음
Specification Approval,Specification Approval,명세서 필요
Same Bank Only,Same Bank Only,동일 은행만
Receipt Required,Receipt Required,영수증 필요
No Third Party,No Third Party,제3자 없음
No Authentication Required,No Authentication Required,인증 필요 없음
Offer Label,Offer Label,거래명
Offer Condition,Offer Condition,거래 조건
Transaction Guidelines,Transaction Guidelines,거래 지침
Authentication,Authentication,인증
AskAuth,Ask your trading partner to authenticate your ID,거래 파트너가 신분증을 인증하도록 요청합니다
ShowName,Have the transaction partner display the full name,거래 파트너가 이름 전체를 표시하도록 합니다
Finish Make Offer,Finish Make Offer,거래 만들기 확정
Tether Sell List,Tether Sell List,테더 판매 리스트
Tether Buy List,Tether Buy List,테더 구매 리스트
Wallet,Wallet,지갑
Secret Trade,Secret Trade,약속 거래
required,required,필수
Bank Transfer,Bank Transfer,은행 이체
Kakaopay,Kakaopay,카카오페이
USDT Market Price,USDT Market Price,USDT 시장가격
Tether Balance,Tether Balance,테더 잔고
ETH Balance,ETH Balance,이더리움 잔고
Phone Verification,Phone Verification,휴대폰 인증
Ongoing Trade,Ongoing Trade,진행중인 거래
2FA Verification,2FA Verification,이중 인증
Seller Name,Seller Name,판매자 이름
Buyer Name,Buyer Name,구매자 이름
Tether,Tether,테더
Total Price,Total Price,가격총합
Price,Price,가격
Start Date,Start Date,시작 날짜
End Date,End Date,종료 날짜
Ongoing,Ongoing,진행중
Complete,Complete,완료
Cancel,Cancel,취소
No Records Found,No Records Found,기록 없음
View On Etherscan,View On Etherscan,이더스캔에서 보기
Payment Method,Payment Method,지불 방법
Bank Name,Bank Name,은행 이름
Bank Account Number,Bank Account Number,계좌 번호
Bank Account Holder,Bank Account Holder,예금주명
Update Bank Information,Update Bank Information,은행 정보 갱신
Upload QR Image,Upload QR Image,QR코드 이미지 업로드
Proof for payment,Proof for payment,지급 증빙
Upload Proof,Upload Proof,증빙 업로드
Cancel Reason,Cancel Reason,취소 사유
Balance,Balance,잔고
Send Tether,Send Tether,테더 이체
Cancel Trade,Cancel Trade,거래 취소
Status,Status,상태
Transaction Details,Transaction Details,거래 상세
Trader Profile,Trader Profile,유저 프로필
Nickname,Nickname,닉네임
Grade,Grade,등급
Total Buy Count,Total Buy Count,구매 총 횟수
Total Buy Amount,Total Buy Amount,구매 총액
Total Sell Count,Total Sell Count,판매 총 횟수
Total Sell Amount,Total Sell Amount,판매 총액
Total Cancel Count,Total Cancel Count,취소 총 횟수
Last Login At,Last Login At,마지막 로그인
region,region,지역
location,location,위치
timezone,timezone,시간대
internet_provider,internet_provider,인터넷 공급자
Sell Offer,Sell Offer,판매 제안
Buy Offer,Buy Offer,구매 제안
Offer Details,Offer Details,제안 상세
Payment amounts,Payment amounts,지급 총액
Money you will get,Money you will get,지급받을 총액
Tether you will get,Tether you will get,지급받을 테더 총액
Tether amounts to send,Tether amounts to send,이체할 테더 총액
Start Trade,Start Trade,거래 시작
Close Offer,Close Offer,제안 종료
Trade Amount Limits,Trade Amount Limits,거래량 제한
Pay Method,Pay Method,지불 방법
Offer Condition,Offer Condition,제안 조건
Trade Guideline,Trade Guideline,거래 지침
Offer Tag,Offer Tag,제안 태그
Tether Buy Offer List,Tether Buy Offer List,테더 구매 제안 리스트
Tether Sell Offer List,Tether Sell Offer List,테더 판매 제안 리스트
All,All,전체
Most Recent,Most Recent,최신 순
Oldest,Oldest,오래된 순
Longest End Time,Longest End Time,가장 긴 종료날짜
Shortest End Time,Shortest End Time,가장 짧은 종료날짜
Search,Search,검색
Secret,Secret*,약속거래*
Seller,Seller,판매자
Buyer,Buyer,구매자
Pay,Pay,지불
End,End,종료
View,View,보기
Trade Details,Trade Details,거래 상세
Tron Wallet,Tron Wallet,트론 지갑
Wallet Address,Wallet Address,지갑 주소
Send USDT,Send USDT,USDT 보내기
Send TRX,Send TRX,TRX 보내기
Withdraw History,Withdraw History,인출 내역
Token Type,Token Type,토큰 종류
Sent Date,Sent Date,보낸 날짜
Sent Amount,Sent Amount,보낸 양
Verify Mail,Verify Mail,메일 인증
We sent a 6 digit code here,We sent a 6 digit code here,6자리 숫자를 보냈습니다
Didn't get the code?,Didn't get the code?,코드를 받지 못했습니까?
Already Have An Account?,Already Have An Account?,이미 계정을 가지고 있나요?
Login Now,Login Now,지금 로그인하기
Choose One,Choose One,선택하세요
NID,NID,주민등록증
Front,Front,앞
Back,Back,뒤
ID Type,ID Type,증명서 종류
Driving License,Driving License,운전면허증
Passport,Passport,여권
Something went worng! Please try again,Something went worng! Please try again,에러가 발생 했습니다.  다시 시도해주세요
KYC Information,KYC Information,KYC 정보
Your KYC information is submited,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,당신의 KYC 정보가 제출 되었습니다.  관리자가 확인할때까지 기다려주세요. KYC인증이 완료되면 여기에 정보가 표시됩니다.
Your KYC information is verified,Your KYC information is verified,당신의 KYC정보가 인증 되었습니다
Your KYC information is rejected.,Your KYC information is rejected.,당신의 KYC 정보가 반려되었습니다.
Verify KYC,Verify KYC,KYC 인증하기
Proof Of Indentity,Proof Of Indentity,본인 확인 증명
Delete Account,Delete Account,계정 삭제
Profile Settings,Profile Settings,프로필 설정
Select Country,Select Country,국가를 선택하세요
Change Password,Change Password,비밀번호 변경
Current Password,Current Password,현재 비밀번호
Tether buy amount,Tether buy amount,테더 구매 수량
Suggested Price,Suggested Price,제안가
Buy Price,Buy Price,구매 금액
Trade start time,Trade start time,구매 제안 시간
Trade end time,Trade end time,거래 종료 시간
Enter password,Enter password,비밀번호를 입력해주세요
Can Trade Mobile Verified,Can trade only if mobile verified,전화번호 실명 인증을 완료한 파트너만 거래 가능
Can Trade KYC Verified,Can trade only if KYC verified,KYC 인증을 완료한 파트너만 거래 가능
Can Trade Account Verified, Can trade only if account verified,계좌 인증을 완료한 파트너만 거래 가능
Account Tag,Account Tag,계좌 별칭
Account Preset,My Accounts,내 계좌
Kakaopay Preset,Kakaopay Preset,내 카카오페이
Kakopay Tag,Kakopay Tag,카카오페이 별칭
Save Info,Save,저장
View PDF,PDF file is uploaded : View PDF,PDF 파일 등록됨 : PDF 보기
Download PDF,Download PDF,PDF 다운로드
LoginTime,Logged in,로그인
